File Name,Size (KB),Type,Modified Time,Path
ror2-junk-satellitescene_text_assets_all.bundle,16.27,.bundle,2025-05-14 15:15:08.012788,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-satellitescene_text_assets_all.bundle
ror2-junk-sawmerang_text_assets_all.bundle,32.46,.bundle,2025-05-14 15:15:08.119991,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-sawmerang_text_assets_all.bundle
ror2-junk-scnnettest2_bin_assets_all.bundle,226.45,.bundle,2025-05-14 15:15:09.535899,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-scnnettest2_bin_assets_all.bundle
ror2-junk-scnnettest2_scenes_all.bundle,748.72,.bundle,2025-05-14 15:15:11.627858,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-scnnettest2_scenes_all.bundle
ror2-junk-scnnettest_scenes_all.bundle,2103.64,.bundle,2025-05-14 15:15:24.353010,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-scnnettest_scenes_all.bundle
ror2-junk-scout_text_assets_all.bundle,35.12,.bundle,2025-05-14 15:15:08.130991,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-scout_text_assets_all.bundle
ror2-junk-shieldonly_text_assets_all.bundle,2.11,.bundle,2025-05-14 15:15:07.514796,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shieldonly_text_assets_all.bundle
ror2-junk-shopkeeper_text_assets_all.bundle,1.94,.bundle,2025-05-14 15:15:07.353292,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shopkeeper_text_assets_all.bundle
"ror2-junk-shrine,healing_text_assets_all.bundle",3.0,.bundle,2025-05-14 15:15:07.587312,"C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shrine,healing_text_assets_all.bundle"
"ror2-junk-shrine,wisp_bin_assets_all.bundle",1712.67,.bundle,2025-05-14 15:15:24.194986,"C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shrine,wisp_bin_assets_all.bundle"
"ror2-junk-shrine,wisp_text_assets_all.bundle",2.24,.bundle,2025-05-14 15:15:07.414015,"C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shrine,wisp_text_assets_all.bundle"
ror2-junk-shrine1_bin_assets_all.bundle,1175.44,.bundle,2025-05-14 15:15:24.188985,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shrine1_bin_assets_all.bundle
ror2-junk-shrine1_text_assets_all.bundle,3.36,.bundle,2025-05-14 15:15:07.486795,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shrine1_text_assets_all.bundle
ror2-junk-shrinecleanseall_text_assets_all.bundle,7.99,.bundle,2025-05-14 15:15:07.794471,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-shrinecleanseall_text_assets_all.bundle
